questionset,questionID,section,question,answer1,answer2,answer3,answer4,correctAnswer,selectedAnswer,isCorrect,skipReview,inBonusSection,ausValueSelectedAnswer,ausValueIsCorrect
8,19,4,AusValue: Is it okay for people to criticise government or poke fun at political figures?,No%comma% they can be deported,Yes%comma% people are free to say and write what they think as long as it%quote%s within law,No%comma% they will be fined and possibly jailed,Yes%comma% as long as it doesn%quote%t hurt someone%quote%s sentiments,2,0,0,0,1,0,0
9,0,1,The Torres Strait Islands mostly lie in:,Queensland ,New South Wales ,Tasmania,None of the above,1,0,0,0,0,0,0
9,1,1,January 26 is the anniversary of:,The discovery of diamond in Australia ,The arrival of Aboriginals ,The arrival in Australia of the First Fleet in 1788 ,The first elected Prime Minister ,3,0,0,0,0,0,0
9,2,1,What does COAG stand for?,Council of Australian Government ,Council of Australian Guardians ,Council of Aboriginal Guardians ,Council of Aboriginal Government ,1,0,0,0,0,0,0
9,3,1,The capital of Tasmania is:,Darwin,Alice Springs,Sydney,Hobart,4,0,0,0,0,0,0
9,4,1,What colours are on the Torres Strait Islander Flag?,Red%comma% black%comma% and yellow ,Blue%comma% Green%comma% Yellow%comma% and Black ,Black%comma% white%comma% blue%comma% and green ,Black%comma% red%comma% blue%comma% and lime ,3,0,0,0,0,0,0
9,5,2,Through film%comma% music%comma% literature and art People can express their views as they have_____,Freedom of travel,Freedom of expression,Freedom of information,Freedom of speech,2,0,0,0,0,0,0
9,6,2,The minimum age is __________ to apply for a career in the Australian Defence Force,16 years ,18 years,20 years,22 years,2,0,0,0,0,0,0
9,7,2,Which of these is true about Participating in Australian Society?,All citizens are encouraged to participate in society in Australia,Only senior citizens are encouraged to participate in society in Australia,Only youngsters are encouraged to participate in society in Australia,Only political party members are encouranged to participate in society in Australia,1,0,0,0,0,0,0
9,8,2,___________has to obey Australia%quote%s laws,Only Parliament members,Only Police officers,Only People born in Australia,Everyone in Australia,4,0,0,0,0,0,0
9,9,3,The leader of a local council is called:,The Prime Minister ,The Minister,The Mayor ,Governor,3,0,0,0,0,0,0
9,10,3,How does a bill become a law?,Laws voted on by the citizens ,Laws passed by the local council,Laws passed by the Australian Parliament ,Laws chosen by the Queen ,3,0,0,0,0,0,0
9,11,3,___________ is the highest authority in Australian courts.,The judge or magistrate ,The jury members ,The lawyer ,The police ,1,0,0,0,0,0,0
9,12,3,It is _________ to bribe a police officer.,Legal ,Illegal ,Legal in some states ,Acceptable ,2,0,0,0,0,0,0
9,13,3,If you break the traffic laws%comma% you could be:,Fined or sent to prison ,Flogged ,Expelled from Australia ,All of the above ,1,0,0,0,0,0,0
9,14,3,The function of the Australian Constitution is to:,Set out the basic rules for the Prime Minister ,Set out the basic rules for everyone ,Set out the basic rules for the Queen ,Set out the basic rules for governing a country,4,0,0,0,0,0,0
9,15,4,AusValue: If you like someone%comma% can you force them to marry you?,Yes%comma% if you are wealthy,Yes%comma% as long as it is registered in the court.,No%comma% it is against the law in Australia and can result in severe legal penalties%comma% including imprisonment.,Yes%comma% as long as there is no objection from parents,3,0,0,0,1,0,0
9,16,4,AusValue: Is it legal in Australia for an adult to have sexual relations with a 15 year old girl?,It is allowed in some states and territories.,No%comma% it is against the law in all Australian states and territories.,Yes%comma% if the girl consents to it.,Yes%comma% if parents of the girl consent to it.,2,0,0,0,1,0,0
9,17,4,AusValue: Is it okay if people join a religious cult(group)?,Yes%comma% only if they have are associated with a political party,Yes%comma% only if they are approved by the Pope,Yes%comma% as long as that cult(group) is a legal group.,No%comma% as cults are unlawful entity in Australia,3,0,0,0,1,0,0
9,18,4,AusValue: Are people free to fight physically in public or private places if they disagree on social or political topic.,No,Yes%comma% if it%quote%s a fair fight.,Yes%comma% if it%quote%s oversighted by  a police officer.,Yes%comma% if both parties are the same gender.,1,0,0,0,1,0,0
9,19,4,AusValue: Which of the following is an example of contributing to the Australian community?,Not participating in a donation drive,Volunteering or fundraising for a charity,Keeping your front yard clean and tidy,Selling used goods to someone who needs,2,0,0,0,1,0,0
10,0,1,In which city%comma% High Court of Australia and Australian Parliament located?,Sydney,Perth,Melbourne,Canberra,4,0,0,0,0,0,0
10,1,1,In which state in Australia are most of the large mining projects located?,Queensland,Victoria,South Australia,Western Australia,4,0,0,0,0,0,0
10,2,1,On which of the following days Citizenship Ceremony programmes are held at many places across Australia?,Boxing Day,Australia Day,Christmas Day,ANZAC Day,2,0,0,0,0,0,0
10,3,1,Where is the world%quote%s largest coral reef %quote%The Great Barrier Reef%quote% located?,Queensland,Victoria,South Australia,Western Australia,1,0,0,0,0,0,0
10,4,1,What is the name of the National Day of remembrance that commemorates the Australians who sacrificed their lives during working in Australian peacekeeping operations?,Christmas Day,Boxing Day,ANZAC Day,Australia Day,3,0,0,0,0,0,0
10,5,2,People have ___________%comma% as they can say and write what they think and discuss their ideas with others.,Freedom of travel,Freedom of speech,Freedom of expression,Freedom of association,2,0,0,0,0,0,0
10,6,2,Which is true statement?,People can harm others in Australia,People cannot speak and write what they think in Australia,People are allowed to speak and write what they think in Australia,People can only speak English in Australia,3,0,0,0,0,0,0
10,7,2,Which is true statement?,To change laws%comma% Australians cannot campaign,Australian Constitution can not be changed,The government can be criticized by Australians,The government cannot be criticized by Australians,3,0,0,0,0,0,0
10,8,2,Is everyone in Australia deserves a %quote%fair go%quote% mean?,The achievements of a person should be the result of their background,The achievements of a person should be the result of their wealth,The achievements of a person should be the result of their hard work and talents,The achievements of a person should be the result of their social status,3,0,0,0,0,0,0
10,9,3,Do Australians vote in referendums?,No,Yes%comma% every 6 months,Yes%comma% occasionally ,Yes%comma% every 2 years,3,0,0,0,0,0,0
10,10,3,A Bill is:,A proposed law that has not yet passed through the Queen ,A proposed law that has not yet passed through Parliament ,A proposed law that has not yet passed through Senate ,A proposed law that has not yet passed through the police ,2,0,0,0,0,0,0
10,11,3,The Parliament answers to _________ for their decisions.,Queen Elizabeth II ,The Australian people ,The Prime Minister ,The Governor-General ,2,0,0,0,0,0,0
10,12,3,Which of the following has the power to make national laws that govern Australia?,The Parliament ,The citizens ,The Governor-General ,The Prime Minister ,1,0,0,0,0,0,0
10,13,3,When Australian citizens have concerns%comma% with whom should they raise matters to?,The Queen,The Prime Minister ,The police ,Their elected representatives ,4,0,0,0,0,0,0
10,14,3,If Australians break the law%comma% they get arrested by:,The Prime Minister ,Police Officers,Judges,Jury members,2,0,0,0,0,0,0
10,15,4,AusValue: Is It allowed to marry more than one person at the same time in Australia?,Yes%comma% as long as your existing partner approves it,No%comma% it is against law and can result in severe legal penalties%comma% including imprisonment.,Yes%comma% as long as it is registered in the court,Only when it is approved by your religion,2,0,0,0,1,0,0
10,16,4,AusValue: In Australia%comma% media such as newspapers%comma% television and radio channels is controlled by _____,no one,the government,political parties,businessmen,1,0,0,0,1,0,0
10,17,4,AusValue: Which of the below is an example of cyber abuse?,politely criticising a person online,commenting on someone%quote%s post,blocking a friend request,stalking a person online,4,0,0,0,1,0,0
10,18,4,AusValue: Australians recognise the importance of _________ in maintaining a peaceful and orderly society.,Laws,Social security,Religion,Immigration,1,0,0,0,1,0,0
10,19,4,AusValue: s it okay to apply for divorce from your partner%comma% even when they want continue the marriage?,Yes%comma% only when it is permitted by your parents,No%comma% the marriage must be protected irrespective of your wishes,No%comma% it is a sin and is punishable by society,Yes%comma% either a husband or a wife may apply for a divorce to the courts%comma% even if the other spouse wishes to continue the marriage.,4,0,0,0,1,0,0
11,0,1,What is the first sentence of the citizenship pledge?,Whose laws I will uphold and obey,I pledge my loyalty to Australia%comma% under God%comma%,From this time forward%comma% under God%comma%,I pledge my loyalty to Australia and its people%comma%,3,0,0,0,0,0,0
11,1,1,Why did Great Britain send convicts to Australia in the 1800s?,British laws were harsh and all convicts had to be sent to Australia for forced labour,Australian new free settlers needed labour to build infrastructure,British would like convicts to have a better life,British laws were harsh and the jails could not hold the large number of people imprisoned for their crimes,4,0,0,0,0,0,0
11,2,1,Who were the first large group of migrants not from Europe in the 1800%quote%s?,Chineses,Italians,Indians,Vietnameses,1,0,0,0,0,0,0
11,3,1,Who was the commander of the First Fleet?,Captain Arthur Conan Doyle,Captain James Cook,Captain Conan Philip,Captain Arthur Phillip,4,0,0,0,0,0,0
11,4,1,What is the first sentence of the Australia%quote%s national anthem?,Beneath our radiant Southern Cross,We%quote%ve golden soil and wealth for toil,Australians all let us rejoice,Advance Australia Fair,3,0,0,0,0,0,0
11,5,2,Which of the following include the privileges of an Australian?,Children born overseas can be registered by descent as Australian citizens,While overseas%comma% they can seek help from an Australian official,Apply for work in Australian Public Service,All of the above,4,0,0,0,0,0,0
11,6,2,In _______ an Australian citizen votes regularly.,State or territory and federal elections,Local government elections,Referendum,None of the above,1,0,0,0,0,0,0
11,7,2,Select the correct statement about the Australians,Only if children are born in Australia and New Zealand%comma% Australians can be registered as Australian citizens,Children born overseas to Australians can be registered as Australian citizens,Children born overseas to Australians cannot be registered as Australian citizens,None of the above,2,0,0,0,0,0,0
11,8,2,What is the duty/responsibility of ATO?,The duty of the ATO is to ensure all citizens are paying the correct amount of tax.,The duty of the ATO is to ensure that all citizens are aware of their tax rights and obligations,All of the above,None of the above,3,0,0,0,0,0,0
11,9,3,Which of the following is responsible for schools in Australia?,The Prime Minister ,The Queen,The Australian Government ,The state and territory governments ,4,0,0,0,0,0,0
11,10,3,The House of Representatives:,Is where the politicians live ,Consider%comma% debate%comma% and vote on laws ,Decide if the defendant is guilty in criminal cases ,Appoint the Prime Minister every 4 years ,2,0,0,0,0,0,0
11,11,3,Who may be called for jury service?,Anyone,Any citizens who is on the electoral roll ,Any male citizens who is on the electoral roll ,Any citizens who is less than 60 years of age ,2,0,0,0,0,0,0
11,12,3,In Australian politics%comma% Independent is:,A politician does not interact with anyone in the Parliamen,A politician who does not belong to any political party ,A politician who belongs to the Opposition ,None of the above,2,0,0,0,0,0,0
11,13,3,Representatives for state and territory governments are chosen by:,The Queen ,The Governor-General ,The Prime Minister ,Citizens in their area through election ,4,0,0,0,0,0,0
11,14,3,_________ approves the appointment of the Australian Government and its ministers.,The citizens ,The Prime Minister ,The Governor-General ,The Queen ,3,0,0,0,0,0,0
11,15,4,AusValue: Is it okay to share sexually explicit photos or videos online without consent?,No%comma% online abuse is not accepted in Australia.,Yes%comma% nobody cares about it,Yes%comma% as long as you remain anonymous,Only if it is shared to less than ten people,1,0,0,0,1,0,0
11,16,4,AusValue: Applicants for Australian citizenship don%quote%t have to make efforts to learn the English langauge%comma% if it is not your native language. True/False?,True. Applicants can take the citizenship test in their native language.,True. It doesn%quote%t make much difference to your citizenship application,False. Applicants for Australian citizenship must undertake to make reasonable efforts to learn the English language%comma% if it is not their native language.,True. You need to learn English only if you want to work in Australia,3,0,0,0,1,0,0
11,17,4,AusValue: In Australia%comma% can you stop a woman from getting ahead of men even when she has better qualifications and skills?,No%comma% in Australia%comma% it is a right for a woman to get a job ahead of a man%comma% if she has better qualifications and skills.,Yes%comma% it is a right for a man to get a job ahead of a woman in Australia,Yes%comma% men are always better at job than women,Yes%comma% a woman can not get better position than a man in Australia irrespective of her qualifications and skills,1,0,0,0,1,0,0
11,18,4,AusValue: In Australia%comma% can you create or promote racially offensive material to others?,Yes%comma% as long as it is done in a small group,Yes%comma% as long as you have a large number of followers,Yes%comma% if it is done via internet,No%comma% it is against Australian values and laws,4,0,0,0,1,0,0
11,19,4,AusValue: If you suspect your neighbour of committing a serious crime%comma% which of the below should you do?,You should report this to Australian government authorities as soon as possible.,You don%quote%t have to talk about it as it%quote%s none of your business,You should keep silence about it,You should ignore it as your life can get in danger,1,0,0,0,1,0,0
12,0,1,Along the eastern coast of Queensland which world famous reef runs?,Great Chagos Archipelogo Reef,Great Barrier Reef,Red Sea Corol Reef,Wakatobi Islands Reef,2,0,0,0,0,0,0
12,1,1,25 April is observed as_____each year.,Australia Day,Labour Day,Mother Day,ANZAC Day,4,0,0,0,0,0,0
12,2,1,What is called to the flag of Great Britain that is on Australian National Flag?,The Commonwealth Star,The Union Jack,The Southern Cross,St Andrew%quote%s Cross,2,0,0,0,0,0,0
12,3,1,What is considered national icons of Sydney?,Bondi and Manly Beaches,Schools and Universities,Taronga Zoo and Animals,Opera House and Harbour Bridge,4,0,0,0,0,0,0
12,4,1,______ the sacrifice of all Australians who served and died in wars%comma% conflicts and peacekeeping operations is remembered,Harmony Day,Labour Day,Remembrance day,ANZAC Day,4,0,0,0,0,0,0
12,5,2,Voting is compulsory in Australia in ____election,Federal,State,All of the above,Voting is not compulsory in Australia,3,0,0,0,0,0,0
12,6,2,_____ is an important right and responsibility%comma% all Australian citizens have,Travelling,Singing,Teaching,Voting,4,0,0,0,0,0,0
12,7,2,What is the minimum age to apply for a career in the Army?,16 years ,18 years,20 years,21 years,2,0,0,0,0,0,0
12,8,2,What will allow people to do freedom of speech?,Not to discuss their ideas with others,To discuss their ideas with others,To sing any song with others,To live peacefully if they don%quote%t discuss their ideas with others,2,0,0,0,0,0,0
12,9,3,_______ monarchy exists in Australia.,Royal,Absolute,Real,Constitutional,4,0,0,0,0,0,0
12,10,3,Which of the following is an example of a serious crime in Australia?,Not wearing seatbelt while travelling in a car ,Not going to church on Sundays ,Fraud ,Not going to vote,3,0,0,0,0,0,0
12,11,3,Each Australian citizen can vote for ____ representative(s) to represent them in the House of Representatives?,1,2,3,4,1,0,0,0,0,0,0
12,12,3,A representative in the House of Representatives is called:,Member of the Public ,Political member ,Member of Parliament ,Member of the House ,3,0,0,0,0,0,0
12,13,3,The Administrator in the Northern Territory is appointed by:,The Queen ,The Governor-General ,The Prime Minister ,The people,2,0,0,0,0,0,0
12,14,3,Australian courts are:,Run by the government ,Independent of the government ,Run by the Queens,Run by the citizens ,2,0,0,0,0,0,0
12,15,4,AusValue: Which of the following is incorrect about equality of all people under the law? ,Either a husband or wife may apply for a divorce to the courts%comma% even if the other spouse wishes to continue the marriage.,Physical violence against a spouse or partner is never acceptable and it is criminal offence,Both men and women have the right to make their own choices abut personal matters%comma% such as marriage and religion.,None of the above (all are correct),4,0,0,0,0,0,0
12,16,4,AusValue: In Australia%comma% can you encourage violence against a person or group of people if you have been insulted? ,Yes%comma% if you do not intend to carry out the violence.,No%comma% it is against Australian values and the law.,Sometimes%comma% if I feel very offended.,Yes%comma% if it is a fair fight.,2,0,0,0,0,0,0
12,17,4,AusValue: Which of the following is an example of %quote%mateship%quote% value? ,You take a meal to an elderly neighbour.,You help driving a friend to medical appointment,All of the above,None of the above,3,0,0,0,0,0,0
12,18,4,AusValue: Should people tolerate one another where they find that they disagree? ,It is against the law to disagree with one another.,No%comma% people only need to treat each other with respect if they agree with on another.,Yes%comma% peaceful disagreement reflects Australian values in relation to mutual respect.,No%comma% because you need to keep your dignity intact.,3,0,0,0,0,0,0
12,19,4,AusValue: In Australia%comma% are people free to choose who they marry or not marry? ,No%comma% your parent will choose for you,No%comma% your local council will choose for you,Yes,Depends on your income,3,0,0,0,0,0,0
13,0,1,___________is the native animal of Australia,Tiger,Elephant ,Kangaroo,Eagle,3,0,0,0,0,0,0
13,1,1,The Australian Capital Territory is situated between ________ and _________,Melbourne and Sydney,Perth and Adelaide,Melbourne and Perth,Hobart and Melbourne,1,0,0,0,0,0,0
13,2,1,What is represented by Commonwealth coat of arms?,National Unity of Australia,The peace,National sport teams%quote%s uniforms,National Animal of Australia,1,0,0,0,0,0,0
13,3,1,_______ and ________ lives the small population of the Northern Territory along the main highway.,Alice Springs and Palmerston,Alice Springs and Darwin,Adelaide and Belconnen,Palmerston and Belconnen,2,0,0,0,0,0,0
13,4,1,Which are Australia%quote%s official flags?,The Union Flag%comma% Eureka Flag,The Australian Aboriginal Flag,The Torres Strait Islander Flag%comma% the Australian National Flag%comma% and the Australian Aboriginal Flag,The Australian National Flag%comma% the Union Flag,3,0,0,0,0,0,0
13,5,2,Select a true statement about Freedom of association,Joining any social group is not allowed,Joining any political party is not allowed for Australians,Joining any legal organization is allowed for Australians,None of the above,3,0,0,0,0,0,0
13,6,2,A/An_____is often your mate,Grandfather,Father,Friend,Enemy,3,0,0,0,0,0,0
13,7,2,Select the true statement about Australia:,Others can be encouraged to break the law in Australia,False allegations cannot be made by the people of Australia,A person%quote%s reputation can be damaged by another in Australia,If you don%quote%t wish%comma% you don%quote%t have to vote in an Australian federal election,2,0,0,0,0,0,0
13,8,2,What will happen if people in Australia don%quote%t obey the laws?,Only a few laws are to be obeyed by Australians,As they are okay with not obeying the law%comma% nothing will happen,They may have to go to court after being arrested by the police,Their voting rights will be suspended,3,0,0,0,0,0,0
13,9,3,When can citizens seek help from their local police?,Only at night ,Only during weekends ,Only during weekdays ,Any time ,4,0,0,0,0,0,0
13,10,3,Which of the following is legal in Australia?,Fraud ,Murder ,Violence against women ,Owning a licensed gun ,4,0,0,0,0,0,0
13,11,3,The purpose of the jury system is to:,Ensure that the court system is open and fair ,Ensure the judges get paid ,Decide which laws should be passed ,Decides the punishment for offenders ,1,0,0,0,0,0,0
13,12,3,The state and territory governments are based in:,The central city of the state or territory ,Cities dedicated by the Queen ,The largest city of the state or territory ,Their capital cities ,4,0,0,0,0,0,0
13,13,3,Which of the following is a correct statement regarding Australian legal system?,People are considered guilty until founded innocent by a court ,People are considered innocent until founded guilty by the police ,People are considered innocent until founded guilty by a court ,People are considered guilty unless the Prime Minister says you are not ,3,0,0,0,0,0,0
13,14,3,Who chooses MPs or Senators to become ministers of the Australian Government?,The Queen ,he Governor-General ,The Prime Minister ,The citizens ,3,0,0,0,0,0,0
13,15,4,AusValue: Should people%quote%s freedom of speech and freedom of expression be respected in Australia? ,No,Yes,Depends on which state you are in,Depends on which city you are in,2,0,0,0,0,0,0
13,16,4,AusValue: Which of the following is NOT correct about freedom of speech? ,People in Australia should be able to express their ideas freely so long as it is within the law,In Australia%comma% people are free to meet for social or political discussion,In Australia%comma% people are free to say and write what they think about any topic and to discuss with others,In Australia%comma% people are free to join or leave any group voluntarily as long as it is within the law,4,0,0,0,0,0,0
13,17,4,AusValue: What is NOT Australian values? ,Freedom of speech,Freedom of association,Freedom of religion,Freedom of information,4,0,0,0,0,0,0
13,18,4,AusValue: Which of the following statement is INCORRECT about Loyalty to Australia? ,In the citizenship pledge%comma% Australian citizens pledge their loyalty to Australia and its people,Australian citizens may also hold the citizenship of another country or countries if the laws of those countries allows,It is illegal for Australians to be involved in any sexual activity%comma% here or overseas%comma% with a child under 16 years of age,None of the above (all are correct),4,0,0,0,0,0,0
13,19,4,AusValue: Which of the following is correct about freedom of religion? ,Australia has no official national religion,People in Australia are free to follow any religion they choose,Religious intolerance is not acceptable in Australian society,All of the above are correct,4,0,0,0,0,0,0
14,0,1,On the eve of Australia Day%comma% Where does the Prime Minister announce the Australian of the Year award?,Sydney,Melbourne,Adelaide,Canberra,4,0,0,0,0,0,0
14,1,1,The north islands of ______belongs to the Torres Strait Islanders.,Tasmania,New South Wales ,Victoria,Queensland,4,0,0,0,0,0,0
14,2,1,3 Important parts of the Australian National Flag are __________,The Southern Cross%comma% Union Jack%comma% the yellow circle, The Commonwealth Star%comma% Union Jack%comma% the Southern Cross,Union Jack%comma% The green stripes%comma% the Commonwealth Star,Black%comma% Yellow circle and Red parts,2,0,0,0,0,0,0
14,3,1,Being Australian the joy and pride are being publicly expressed through _____,God save the Queen,God save the King,Advance Australia Fair,The Star-Spangled Banner,3,0,0,0,0,0,0
14,4,1,How can Jury be defined?,A group of people who can vote in Federal and State elections,A group of people who can apply for an Australian passport and re-enter Australia freely,A group of ordinary Australian men and women who listen to the evidence in a court case and decide if a person is innocent or guilty.,A group of people committed to join together to defend the nation and its way of life.,3,0,0,0,0,0,0
14,5,1,The commonwealth Coat of Arms symbol and its background has ______,Golden wattle,Daffodils,Opal,Golden wattle,4,0,0,0,0,0,0
14,6,2,Many Australians can describe themselves as______,Christians,Muslims,Hindus,Buddhists,1,0,0,0,0,0,0
14,7,2,Early free settlers is originated from_______in Australia,North America,Africa,Great Britain and Ireland,Asia,3,0,0,0,0,0,0
14,8,2,Approximately%comma% ________was the population of Australia in 1901.,2 million,4 million,8 million,10 million,2,0,0,0,0,0,0
14,9,2,Which one of the following is false,People in Australia are free to follow any religion,Men and women can join the Army%comma% Navy and Air Force,All Australians have the opportunity to go to university,Australia is a Christian country,4,0,0,0,0,0,0
14,10,3,The members of Parliament are representation of:,All Australian citizens,Everyone living in his or her electoral district ,Every Australian citizen living in his/her suburb,Every Australian citizen living in his/her State,2,0,0,0,0,0,0
14,11,3,Which of the following governments is responsible for noise and animal control?,Local governments and the Australian Capital Territory Government,State and territory governments,The Australian Government,Australia Federal Police,1,0,0,0,0,0,0
14,12,3,Before 1901%comma% how many separate self-governing British colonies made up Australia,9,6,5,4,2,0,0,0,0,0,0
14,13,3,In a_________%comma% all the people of a country are involved in the way the country is governed.,Parliamentary democracy,Parliamentary dictatorship,Parliamentary Monarchy,Parliamentary republic,1,0,0,0,0,0,0
14,14,3,Which one is a true statement about the law in Australia?,The way in which a person%comma% as a citizen%comma% will have a say in the running of the country needs to be understood,The way in which laws are made in the parliamentary democracy and are administered needs to be understood,All of the above,None of the above,3,0,0,0,0,0,0
14,15,4,AusValue: Which of the following is NOT correct about freedom of associate? ,In Australia%comma% people are free to join or leave any group voluntarily as long as it is within the law,In Australia%comma% people are free to associate with crime activities,Australians can gather freely within others%comma% including to protest against a government action or organisation.,All protests must be within the law and must not injure any person,2,0,0,0,0,0,0
14,16,4,AusValue: Should people tolerate one another where they find that they disagree? ,It is against the law to disagree with one another.,No%comma% people only need to treat each other with respect if they agree with on another.,Yes%comma% peaceful disagreement reflects Australian values in relation to mutual respect.,No%comma% because you need to keep your dignity intact.,3,0,0,0,0,0,0
14,17,4,AusValue: Which of the following statement is INCORRECT (Helping to keep our society safe)? ,Cyber abuse is not acceptable in Australia,Sharing sexual photos or videos online without consent is illegal in Australia,Stalking a person online or making racially abusive comments about at person online is considered as a personal freedom.,If you suspect a friend or neighbour may be planning to commit a crime%comma% you should report this to Australian government authorities as soon as possible,3,0,0,0,0,0,0
14,18,4,AusValue: Which of these statements best demonstrates Australian values about freedom of expression? ,Everyone can peacefully express their opinions within the law.,People with different views from me need to keep quiet.,Only approved topics can be discussed.,Australian people are free to join or leave any group voluntarily.,1,0,0,0,0,0,0
14,19,4,AusValue: Which of the following is an example of contributing to Australian community? ,When you work%comma% you pay taxes.,When you buy a property%comma% you pay stamp duty to government.,Volunteering around school and children%quote%s activities.,Keep your front lawn tidy,3,0,0,0,0,0,0
15,0,1,European settlement in Australia began in:,1901,1888,1850,1788,4,0,0,0,0,0,0
15,1,1,Australia has ____ official flags?,1,2,3,6,3,0,0,0,0,0,0
15,2,1,The capital of South Australia is:,Cairn,Melbourne,Adelaide,Canberra,3,0,0,0,0,0,0
15,3,1,Australia is made up of:,5 states and 3 territories ,4 states and 2 territories ,6 states and 1 territories ,6 states and 2 territories ,4,0,0,0,0,0,0
15,4,1,When did the European settlement in Australia start?,1701,1788,1888,1901,2,0,0,0,0,0,0
15,5,1,_____ separates Tasmania from Austalian mainland.,Cook Strait,Tasmania Strait,Torres Strait,Bass Strait,4,0,0,0,0,0,0
15,6,2,Which of the following is correct about Defence Force in Australia?,Service in the Australian Defence Force is compulsory if you want to apply for a passport,Service in the Australian Defence Force is voluntary,Service in the Australian Defence Force is compulsory if you are not in school at the age of 18 -21,Service in the Australian Defence Force is voluntary for women,2,0,0,0,0,0,0
15,7,2,Australian citizens have a legal right to:,Travel to any country without a passport,Join the Australian Defence Force,Vote for the next Queen,All of the above,2,0,0,0,0,0,0
15,8,2,Which of the following statements is true?,Citizens 16 years of age or over can protest against the government,No one can protest against the government,Only politicians can protest,Citizens can protest against the government%comma% as long as they do it legally,4,0,0,0,0,0,0
15,9,2,Which of the following is a responsibility for Australians 18 years old or over?,To attend university ,To get married ,To vote in elections ,To apply for Australian passport ,3,0,0,0,0,0,0
15,10,2,Which of the following statement is INCORRECT?,Australians are required to follow Judaeo-Christian ethics,Australians are free to follow any religion,Australian men and women have the same rights,Australian citizens can vote in all elections,1,0,0,0,0,0,0
15,11,3,Each Australian citizen can vote for ____ representative(s) to represent them in the House of Representatives?,4,3,2,1,4,0,0,0,0,0,0
15,12,3,Which of the following statements is correct?,People vote by a show of hands ,People are free to vote for any candidate ,People must vote for candidates that are loyal to the Queen ,A and B ,2,0,0,0,0,0,0
15,13,3,The proposal to make a law in parliament is called the:,Debate ,Bill ,Law ,Amendment ,2,0,0,0,0,0,0
15,14,3,Which of the following maintains peace and order in Australia?,Polices,Judges,Lawyers,Prime Minister,1,0,0,0,0,0,0
15,15,4,AusValue: Do you agree that men and women should be provided equality of opportunity when pursuing their goals and interests? ,Yes%comma% people from different backgrounds are not given a preferential treatment%comma% nor discriminationed against,No since people are not created equal by nature,Depends if you are in rural area%comma% it is no need to be provided,No%comma% if you are rich%comma% you should have a special treatment,1,0,0,0,0,0,0
15,16,4,AusValue: Which of the following is incorrect about equality of all people under the law? ,Either a husband or wife may apply for a divorce to the courts%comma% even if the other spouse wishes to continue the marriage.,Physical violence against a spouse or partner is never acceptable and it is criminal offence,Both men and women have the right to make their own choices abut personal matters%comma% such as marriage and religion.,None of the above (all are correct),4,0,0,0,0,0,0
15,17,4,AusValue: In Australia%comma% can you encourage violence against a person or group of people if you have been insulted? ,Yes%comma% if you do not intend to carry out the violence.,No%comma% it is against Australian values and the law.,Sometimes%comma% if I feel very offended.,Yes%comma% if it is a fair fight.,2,0,0,0,0,0,0
15,18,4,AusValue: Which of the following is an example of %quote%mateship%quote% value? ,You take a meal to an elderly neighbour.,You help driving a friend to medical appointment,All of the above,None of the above,3,0,0,0,0,0,0
15,19,4,AusValue: Which of the following is NOT correct regarding to a %quote%fair-go%quote% value? ,A %quote%Fair-go%quote% apply for Australian citizen or permanent resident only,What someone achieves in life should be a result of their hard work and talents,A person should get a job based on their skills and experience%comma% not because of their gender%comma% wealth or ethnicity,When an organization needs to fill a job%comma% the law supports that they select the person with the best skills and experience for the job,1,0,0,0,0,0,0
16,0,1,What is the capital city of Australia?,Adelaide,Sydney,Melbourne,Canberra,4,0,0,0,0,0,0
16,1,1,The colour of the Australian National Flag,Blue%comma% white and Red,Black and white,Red%comma% Black and Yellow,White and green,1,0,0,0,0,0,0
16,2,1,Which of the following is Australia%quote%s largest city?,Canberra,Sydney,Melbourne,Perth,2,0,0,0,0,0,0
16,3,1,The main town near the centre of Australia is:,Sydney ,Alice Springs,Perth,Adelaide,2,0,0,0,0,0,0
16,4,1,What appears on the Australia%quote%s Coat of Arms?,Kangaroo,Emu,Koala,A and B,4,0,0,0,0,0,0
16,5,2,Which of the following ideas demonstrates compassion for those who need help in the Australian society?,A spirit of %quote%mateship%quote% ,A thought of %quote%peace%quote% ,A feeling of %quote%righteousness%quote% ,All of the above ,1,0,0,0,0,0,0
16,6,2, Mateship means ____,In times of need%comma% helping and receiving help from each other,Not to travel during pregnancy,Not helping others,Not receiving help from others,1,0,0,0,0,0,0
16,7,2,Which of the following is the official national religion of Australia?,Christianity ,Judaism ,Buddhism ,Australia has no official national religion ,4,0,0,0,0,0,0
16,8,2,What is the consequence of not attending a polling booth to vote?,You will be sent to jail ,You will have to vote twice next time ,You will be fined if you do not provide a good reason ,There is no consequence ,3,0,0,0,0,0,0
16,9,3,Violence towards another person is:,Legal ,Illegal ,Legal in some states ,Acceptable ,2,0,0,0,0,0,0
16,10,3,Laws:,Help to maintain a orderly and peaceful society ,Are needed to protect the government%quote%s rights ,Ensures that every citizen is wealthy ,All of the above ,1,0,0,0,0,0,0
16,11,3,Which of the following can apply Australian laws?,The High Court of Australia ,The High Court of Britain ,The Australian Defence Force ,The Australian Army,1,0,0,0,0,0,0
